Subdivision,Total Living Area SqFt,Year Built,Bedrooms,Full Baths,Half Baths,Property Type,List Price,Sold Price,Acres,Approx Lot SqFt,Approximate Acres,Basement,Construction Type,Days On Market,Closing Date,Fireplace,Garage,HOA 1 Fees Required,Internet Listing,List Date,Master Bedroom 1st Floor,New Construction,Total Baths,Zip,Inside City,HOA Y/N,Elementary School 1,High School 1,Middle School 1,City,Restrictive Covenants
The Hills at Southpoint,"6,079",2010,6,5,1,Detached,"$819,900","$798,000",.26-.5 Acres,"12,719.52",0.292,Yes,Site Built,56,1/4/2021,3,4,Yes,Yes,9/16/2020,No,No,6,27713,Yes,,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Orchard Lake,"1,532",2002,3,2,1,Detached,"$235,000","$243,000",0-.25 Acres,"7,579.44",0.174,No,Site Built,3,1/4/2021,1,0,Yes,Yes,10/8/2020,No,No,3,27713,Yes,Yes,Durham - Southwest,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"4,494",1910,4,4,0,Detached,"$1,153,000","$1,153,000",.26-.5 Acres,"11,325.60",0.26,Yes,Site Built,1,1/4/2021,4+,0,No,Yes,11/5/2020,No,No,4,27701,Yes,No,Durham - E.K. Powe,Durham - Riverside,Durham - Brogden,Durham,Yes
Hickory Ridge,"1,914",1997,3,2,1,Detached,"$268,500","$249,500",.76-.99 Acres,"38,768.40",0.89,No,Site Built,1,1/4/2021,1,2,,Yes,11/10/2020,Yes,No,3,27712-2309,Yes,No,Durham - Eno Valley,Durham - Northern,Durham - Carrington,Durham,No
Wynterfield,"1,681",2005,2,2,1,Attached,"$225,000","$230,000",0-.25 Acres,"1,568.16",0.036,No,Site Built,6,1/4/2021,1,1,Yes,Yes,11/12/2020,No,No,3,27713,Yes,,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"2,384",1962,3,1,1,Detached,"$290,000","$275,000",.51-.75 Acres,"26,571.60",0.61,Yes,Site Built,48,1/4/2021,1,0,,Yes,9/28/2020,Yes,No,2,27705-1643,Yes,,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,No
Grove Park,"2,474",1998,4,2,1,Detached,"$324,900","$288,000",0-.25 Acres,"9,147.60",0.21,No,Site Built,82,1/4/2021,1,2,Yes,Yes,8/21/2020,No,No,3,27703,No,Yes,Durham - Oakgrove,Durham - Southern,Durham - Neal,Durham,No
Briardale,"2,444",1991,4,3,0,Detached,"$349,900","$349,000",.51-.75 Acres,"23,522.40",0.54,No,Site Built,18,1/4/2021,1,2,,Yes,10/27/2020,Yes,No,3,27712,Yes,No,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,Yes
Auburn Trace,"2,351",2002,3,2,1,Detached,"$360,000","$375,000",.26-.5 Acres,"13,939.20",0.32,No,Site Built,5,1/4/2021,1,2,Yes,Yes,12/2/2020,No,No,3,27713,Yes,Yes,Durham - Hope Valley,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Ridgefield,"2,058",2020,4,2,1,Detached,"$274,000","$274,000",0-.25 Acres,"7,405.20",0.17,No,Site Built,0,1/4/2021,0,2,Yes,Yes,6/18/2020,No,Yes,3,27703,No,Yes,Durham - Oakgrove,Durham - Southern,Durham - Neal,Durham,No
Rustica Oaks,"1,502",2014,4,3,0,Attached,"$230,000","$227,500",0-.25 Acres,"1,306.80",0.03,No,Site Built,38,1/4/2021,0,0,Yes,Yes,10/14/2020,No,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
